imdb_id,id,title
tt0114938,65796,Wild Bill
tt0109340,49805,The Browning Version
tt0112602,26258,Bushwhacked
tt0111579,50797,Burnt by the Sun
tt0110882,19155,Before the Rain
tt0112471,76,Before Sunrise
tt0112508,11017,Billy Madison
tt0112438,37141,The Babysitter
tt0112571,9382,Boys on the Side
tt0112757,6715,The Cure
tt0112643,18256,Castle Freak
tt0112679,22625,Circle of Friends
tt0109445,2292,Clerks
tt0112883,1909,Don Juan DeMarco
tt0109635,8984,Disclosure
tt0112899,61813,Dream Man
tt0109676,4954,Drop Zone
tt0112854,62488,Destiny Turns on the Radio
tt0109579,10531,Death and the Maiden
tt0109642,11929,Dolores Claiborne
tt0109686,8467,Dumb and Dumber
tt0111797,10451,Eat Drink Man Woman
tt0109759,20156,Exotica
tt0109758,18395,Exit to Eden
tt0109707,522,Ed Wood
tt0113117,397,French Kiss
tt0113097,10525,Forget Paris
tt0113028,27985,Far from Home: The Adventures of Yellow Dog
tt0113198,15789,A Goofy Movie
tt0113303,27303,Hideaway
tt0113089,21183,Fluke
tt0109771,10954,Farinelli
tt0113199,47867,Gordy
tt0113234,43475,Gumby: The Movie
tt0109906,72031,The Glass Shield
tt0110057,14275,Hoop Dreams
tt0110005,1024,Heavenly Creatures
tt0110066,17207,Houseguest
tt0110116,13701,Immortal Beloved
tt0110006,14819,Heavyweights
tt0113360,32631,The Hunted
tt0110099,11777,I.Q.
tt0110148,628,Interview with the Vampire
tt0113463,87729,Jefferson in Paris
tt0110189,18713,The Jerky Boys
tt0110216,6280,Junior
tt0113501,9061,Just Cause
tt0113538,37108,A Kid in King Arthur's Court
tt0113552,6071,Kiss of Death
tt0076759,11,Star Wars
tt0110367,9587,Little Women
tt0113670,19101,A Little Princess
tt0110296,49980,Ladybird Ladybird
tt0109731,17961,L'Enfer
tt0103994,18183,Like Water for Chocolate
tt0110322,4476,Legends of the Fall
tt0110443,11008,Major Payne
tt0110365,47504,Little Odessa
tt0107566,32325,Mi Vida Loca
tt0110391,43742,Love Affair
tt0113691,28313,Losing Isaiah
tt0110428,11318,The Madness of King George
tt0109836,3036,Mary Shelley's Frankenstein
tt0113755,40490,Man of the House
tt0110538,24070,Mixed Nuts
tt0110516,8986,Milk Money
tt0110527,10510,Miracle on 34th Street
tt0113808,17402,Miami Rhapsody
tt0113896,38722,My Family
tt0113870,8438,Murder in the First
tt0110684,11593,Nobody's Fool
tt0110638,1945,Nell
tt0113967,39310,New Jersey Drive
tt0117169,109560,New York Cop
tt0106402,56428,Beyond Bedlam
tt0113948,63105,Nemesis 2 - Nebula
tt0110671,131957,Nina Takes a Lover
tt0110632,241,Natural Born Killers
tt0110737,9058,Only You
tt0110729,527,Once Were Warriors
tt0114151,18220,Poison Ivy II: Lily
tt0114069,6950,Outbreak
tt0110413,101,Leon: The Professional
tt0114113,63020,The Perez Family
tt0114210,2307,A Pyromaniac's Love Story
tt0110912,680,Pulp Fiction
tt0114084,41478,Panther
tt0105652,25296,Pushing Hands
tt0110889,40156,Priest
tt0110932,11450,Quiz Show
tt0114129,30304,Picture Bride
tt0110963,10452,Queen Margot
tt0114214,12106,The Quick and the Dead
tt0114296,161495,Roommates
tt0110907,3586,Prêt-à-Porter
tt0111495,110,Three Colors: Red
tt0108394,108,Three Colors: Blue
tt0111507,109,Three Colors: White
tt0110769,159185,"Red Firecracker, Green Firecracker"
tt0114268,36357,Rent-a-Kid
tt0110965,92769,Relative Fear
tt0114571,28033,Stuart Saves His Family
tt0111333,22586,The Swan Princess
tt0111112,14334,The Secret of Roan Inish
tt0111255,2636,The Specialist
tt0111282,2164,Stargate
tt0111070,11395,The Santa Clause
tt0111161,278,The Shawshank Redemption
tt0111149,9905,Shallow Grave
tt0108260,87078,Suture
tt0106966,12527,Strawberry and Chocolate
tt0114594,20306,Swimming with Sharks
tt0111309,36614,The Sum of Us
tt0113936,27993,Senior Trip
tt0110081,31439,To Live
tt0114614,9067,Tank Girl
tt0114608,9059,Tales from the Crypt: Demon Knight
tt0111280,193,Star Trek: Generations
tt0114609,25066,Tales from the Hood
tt0111454,46797,Tom & Viv
tt0114852,12122,Village of the Damned
tt0114694,11381,Tommy Boy
tt0111590,32636,Vanya on 42nd Street
tt0114788,36141,The Underneath
tt0114888,95963,The Walking Dead
tt0108550,1587,What's Eating Gilbert Grape
tt0114857,9271,Virtuosity
tt0114924,2064,While You Were Sleeping
tt0111667,19855,The War
tt0109655,60855,Double Happiness
tt0110598,236,Muriel's Wedding
tt0112435,48287,The Baby-Sitters Club
tt0109040,3049,Ace Ventura: Pet Detective
tt0109045,2759,"The Adventures of Priscilla, Queen of the Desert"
tt0106339,12635,Backbeat
tt0104779,10497,Bitter Moon
tt0109348,11382,Bullets Over Broadway
tt0109444,9331,Clear and Present Danger
tt0109446,10731,The Client
tt0109484,10464,"Corrina, Corrina"
tt0109504,34152,Crooklyn
tt0109506,9495,The Crow
tt0109450,29973,Cobb
tt0109813,888,The Flintstones
tt0109830,13,Forrest Gump
tt0109831,712,Four Weddings and a Funeral
tt0113305,16295,Higher Learning
tt0110091,48992,I Like It Like That
tt0110093,10879,I Love Trouble
tt0110167,10660,It Could Happen to You
tt0110213,10714,The Jungle Book
tt0107472,41647,"The Wonderful, Horrible Life of Leni Riefenstahl"
tt0110357,8587,The Lion King
tt0107426,1689,Little Buddha
tt0111686,11596,New Nightmare
tt0110475,854,The Mask
tt0110478,9359,Maverick
tt0110588,23333,Mrs. Parker and the Vicious Circle
tt0110622,36593,The Naked Gun 33⅓: The Final Insult
tt0110771,12280,The Paper
tt0110950,2788,Reality Bites
tt0105226,10427,Red Rock West
tt0110989,11011,Ri¢hie Ri¢h
tt0111054,49803,Safe Passage
tt0110997,8987,The River Wild
tt0111257,1637,Speed
tt0111256,15128,Speechless
tt0111438,8831,Timecop
tt0111503,36955,True Lies
tt0111693,10449,When a Man Loves a Woman
tt0111742,10395,Wolf
tt0111756,12160,Wyatt Earp
tt0112443,40480,Bad Company
tt0110455,52038,A Man of No Importance
tt0111048,29444,S.F.W.
tt0110399,26352,A Low Down Dirty Shame
tt0112570,39953,"Boys Life: Three Stories of Love, Lust, and Liberation"
tt0109454,41580,Colonel Chabert
tt0059170,315,"Faster, Pussycat! Kill! Kill!"
tt0110186,22067,Jason's Lyric
tt0108069,18242,The Secret Adventures of Tom Thumb
tt0111301,11667,Street Fighter
tt0112702,32502,Coldblooded
tt0112849,267188,Desert Winds
tt0113014,28732,Fall Time
tt0113043,75555,The Fear
tt0113104,42981,Frank and Ollie
tt0113173,278939,Girl in the Cadillac
tt0113319,291731,Homage
tt0113827,226229,Mirage
tt0114047,203119,Open Season
tt0112889,172923,Dos Crímenes
tt0109339,316098,Brother Minister: The Assassination of Malcolm X
tt0110027,8011,Highlander: The Final Dimension
tt0109785,171857,Federal Hill
tt0113409,2654,In the Mouth of Madness
tt0109021,18069,8 Seconds
tt0109035,19092,Above the Rim
tt0106220,2758,Addams Family Values
tt0111804,38129,Martin Lawrence: You So Crazy
tt0106226,10436,The Age of Innocence
tt0109068,13595,Airheads
tt0109067,46094,The Air Up There
tt0106292,9409,Another Stakeout
tt0109198,11853,Bad Girls
tt0109219,16771,Barcelona
tt0106379,46924,Being Human
tt0106400,11041,The Beverly Hillbillies
tt0109254,306,Beverly Hills Cop III
tt0109279,14522,Black Beauty
tt0109297,26203,Blink
tt0109303,178,Blown Away
tt0109305,19819,Blue Chips
tt0109306,57834,Blue Sky
tt0106452,4722,Body Snatchers
tt0106471,18215,Boxing Helena
tt0106489,1607,A Bronx Tale
tt0109361,26391,Cabin Boy
tt0106505,117553,Calendar Girl
tt0106519,6075,Carlito's Way
tt0109439,11310,City Slickers II: The Legend of Curly's Gold
tt0109443,18658,Clean Slate
tt0106582,9350,Cliffhanger
tt0106598,9612,Coneheads
tt0109456,2124,Color of Night
tt0109480,26261,Cops & Robbersons
tt0109493,19176,The Cowboy Way
tt0106660,49299,Dangerous Game
tt0106673,11566,Dave
tt0106677,9571,Dazed and Confused
tt0106697,9739,Demolition Man
tt0109729,24257,The Endless Summer 2
tt0106834,34444,Even Cowgirls Get the Blues
tt0106873,26141,Fatal Instinct
tt0106332,10997,Farewell My Concubine
tt0109783,50463,The Favor
tt0106881,10443,Fearless
tt0106880,20239,Fear of a Black Hat
tt0111732,16297,With Honors
tt0106926,18551,Flesh and Bone
tt0111712,25440,Widows' Peak
tt0106941,9024,For Love or Money
tt0106918,37233,The Firm
tt0106965,1634,Free Willy
tt0109842,13815,Fresh
tt0106977,5503,The Fugitive
tt0107004,35588,Geronimo: An American Legend
tt0109890,2087,The Getaway
tt0109891,41579,Getting Even with Dad
tt0109913,18620,Go Fish
tt0109920,41006,A Good Man in Africa
tt0107057,4916,Guilty as Sin
tt0107076,2019,Hard Target
tt0107096,31642,Heaven & Earth
tt0107144,9255,Hot Shots! Part Deux
tt0113674,26271,Live Nude Girls
tt0112966,10612,The Englishman Who Went Up a Hill But Came Down a Mountain
tt0107151,2259,The House of the Spirits
tt0110064,16097,House Party 3
tt0110074,11934,The Hudsucker Proxy
tt0110097,106143,I'll Do Anything
tt0110123,12475,In the Army Now
tt0107206,9386,In the Line of Fire
tt0107207,7984,In the Name of the Father
tt0110137,59930,The Inkwell
tt0108551,15765,What's Love Got to Do with It
tt0110197,31643,Jimmy Hollywood
tt0107286,6,Judgment Night
tt0107290,329,Jurassic Park
tt0107302,10909,Kalifornia
tt0110265,507,Killing Zoe
tt0107322,34024,King of the Hill
tt0110305,29918,Lassie
tt0107362,9593,Last Action Hero
tt0107413,42580,Life With Mikey
tt0110353,22317,Lightning Jack
tt0107468,1413,M. Butterfly
tt0107478,12121,Made in America
tt0107497,2246,Malice
tt0107501,10502,The Man without a Face
tt0107507,10440,Manhattan Murder Mystery
tt0107554,9516,Menace II Society
tt0116253,2320,Executive Decision
tt0074102,5879,In the Realm of the Senses
tt0111689,83718,What Happened Was...
tt0107616,11971,Much Ado About Nothing
tt0107611,2625,Mr. Jones
tt0107613,31911,Mr. Wonderful
tt0107614,788,Mrs. Doubtfire
tt0107653,21450,Naked
tt0110657,11231,The Next Karate Kid
tt0110649,41588,The New Age
tt0110678,10447,No Escape
tt0110687,31586,North
tt0107756,9300,Orlando
tt0107808,9559,A Perfect World
tt0107818,9800,Philadelphia
tt0107822,713,The Piano
tt0107840,8291,Poetic Justice
tt0107889,18133,The Program
tt0111003,25557,The Puppet Masters
tt0110939,22588,Radioland Murders
tt0110955,10872,The Ref
tt0107943,1245,The Remains of the Day
tt0110971,11858,Renaissance Man
tt0107969,7007,Rising Sun
tt0111001,10467,The Road to Wellville
tt0107978,5550,RoboCop 3
tt0107977,8005,Robin Hood: Men in Tights
tt0107983,2088,Romeo Is Bleeding
tt0105275,10412,Romper Stomper
tt0108000,47889,Ruby in Paradise
tt0108002,14534,Rudy
tt0108026,56583,The Saint of Fort Washington
tt0105032,41878,Savage Nights
tt0108052,424,Schindler's List
tt0111094,35233,The Scout
tt0108065,14291,Searching for Bobby Fischer
tt0111102,103413,Second Best
tt0108071,11236,The Secret Garden
tt0111127,11592,Serial Mom
tt0111143,8850,The Shadow
tt0108101,10445,Shadowlands
tt0108122,695,Short Cuts
tt0111194,43535,A Simple Twist of Fate
tt0111201,12519,Sirens
tt0108149,23210,Six Degrees of Separation
tt0108160,858,Sleepless in Seattle
tt0108162,867,Sliver
tt0083658,78,Blade Runner
tt0108186,13203,Son in Law
tt0108174,10442,So I Married an Axe Murderer
tt0108238,11074,Striking Distance
tt0089256,33367,Harem
tt0108255,9607,Super Mario Bros.
tt0111323,17585,Surviving the Game
tt0111400,9057,Terminal Velocity
tt0108328,20967,Thirty Two Short Films About Glenn Gould
tt0111418,10635,Threesome
tt0107688,9479,The Nightmare Before Christmas
tt0108333,10057,The Three Musketeers
tt0108358,11969,Tombstone
tt0111488,41590,Trial by Jury
tt0108399,319,True Romance
tt0108515,26408,The War Room
tt0110763,15139,The Pagemaster
tt0107779,161158,"Paris, France"
tt0109226,218473,"The Beans of Egypt, Maine"
tt0110259,85247,Killer
tt0114906,11446,Welcome to the Dollhouse
tt0107002,51980,Germinal
tt0109403,24405,Chasers
tt0104029,11655,Cronos
tt0110623,11800,Naked in New York
tt0107315,8223,Kika
tt0106408,14587,Bhaji on the Beach
tt0110363,31504,Little Big League
tt0107349,41653,The Slingshot
tt0111709,53185,Wide Eyed and Legless
tt0109828,95743,Foreign Student
tt0107225,23637,"Ciao, Professore!"
tt0111252,17600,Spanking the Monkey
tt0110366,10897,The Little Rascals
tt0106878,349394,À la mode
tt0109120,21352,Andre
tt0108059,68806,The Escort
tt0110892,37345,Princess Caraboo
tt0112651,32562,The Celluloid Closet
tt0107642,47507,Café au Lait
tt0109382,25403,Dear Diary
tt0106678,124304,I Don't Want to Talk About It
tt0112572,9066,The Brady Bunch Movie
tt0099785,771,Home Alone
tt0099653,251,Ghost
tt0103639,812,Aladdin
tt0103064,280,Terminator 2: Judgment Day
tt0099348,581,Dances with Wolves
tt0114706,80350,Tough and Deadly
tt0096895,268,Batman
tt0102926,274,The Silence of the Lambs
tt0029583,408,Snow White and the Seven Dwarfs
tt0101414,10020,Beauty and the Beast
tt0032910,10895,Pinocchio
tt0100405,114,Pretty Woman
tt0110719,41043,Window to Paris
tt0065214,576,The Wild Bunch
tt0110395,15477,Love and a .45
tt0111752,59146,The Wooden Man's Bride
tt0109934,124472,A Great Day in Harlem
tt0112606,30528,Bye Bye Love
tt0117247,7300,One Fine Day
tt0112625,10824,Candyman: Farewell to the Flesh
tt0106537,261246,Century
tt0116282,275,Fargo
tt0116552,25059,Homeward Bound II: Lost in San Francisco
tt0082509,11827,Heavy Metal
tt0116514,8766,Hellraiser: Bloodline
tt0117283,23570,The Pallbearer
tt0116684,47333,Jane Eyre
tt0110374,54850,Loaded
tt0070506,51242,Bread and Chocolate
tt0065421,10112,The Aristocats
tt0113083,4307,The Flower of My Secret
tt0118001,46029,Two Much
tt0116165,32308,Ed
tt0102855,88893,Scream of Stone
tt0107471,52873,My Favorite Season
tt0113839,123505,A Modern Affair
tt0112712,340210,Condition Red
tt0090665,44281,Halfaouine: Boy of the Terraces
tt0117891,28121,A Thin Line Between Love and Hate
tt0113613,12520,The Last Supper
tt0117381,1592,Primal Fear
tt0114305,166901,Rude
tt0115837,36447,Carried Away
tt0115509,19042,All Dogs Go to Heaven 2
tt0114671,38884,Land and Freedom
tt0112844,47449,Denise Calls Up
tt0114658,36259,Theodore Rex
tt0116275,41852,A Family Thing
tt0113122,40926,Frisk
tt0117608,9099,Sgt. Bilko
tt0113448,2021,Jack & Sarah
tt0116414,61752,Girl 6
tt0116095,10988,Diabolique
tt0111543,11479,"Little Indian, Big City"
tt0117517,398959,Roula
tt0117312,287305,Peanuts – Die Bank zahlt alles
tt0116485,339428,Happy Weekend
tt0113947,12652,Nelly and Monsieur Arnaud
tt0115956,10684,Courage Under Fire
tt0117060,954,Mission: Impossible
tt0109028,68445,Cold Fever
tt0117071,18989,Moll Flanders
tt0117788,10801,The Superwife
tt0112257,54285,"301, 302"
tt0116136,8840,DragonHeart
tt0118026,278978,Und keiner weint mir nach
tt0117117,124625,My Mother's Courage
tt0116168,11107,Eddie
tt0111787,16417,Yankee Zulu
tt0112509,70934,Billy's Holiday
tt0054189,10363,Purple Noon
tt0115591,161070,August
tt0116683,10539,James and the Giant Peach
tt0116287,10543,Fear
tt0116768,18414,Kids in the Hall: Brain Candy
tt0116269,47502,Faithful
tt0114787,11902,Underground
tt0113720,27098,All Things Fair
tt0112536,25087,Bloodsport II
tt0048473,5801,Pather Panchali
tt0052572,896,The World of Apu
tt0117128,3065,Mystery Science Theater 3000: The Movie
tt0114616,318177,Tarantella
tt0117705,2300,Space Jam
tt0062711,8069,Barbarella
tt0110061,288173,Hostile Intentions
tt0140614,187851,They Bite
tt0108181,27768,Some Folks Call It a Sling Blade
tt0114307,221917,The Run of the Country
tt0058898,8072,Alphaville
tt0082206,35797,Coup de Torchon
tt0111430,88030,Tigrero: A Film That Was Never Made
tt0107727,185191,The Eye of Vichy
tt0081759,83857,Windows
tt0113443,33245,It's My Party
tt0109491,124460,Country Life
tt0114048,27281,Operation Dumbo Drop
tt0111613,105045,The Promise
tt0117104,40001,Mrs. Winterbourne
tt0117688,29621,Solo
tt0109751,117730,Under The Domim Tree
tt0117774,20762,The Substitute
tt0114736,37144,True Crime
tt0112604,48260,Butterfly Kiss
tt0116289,12656,Feeling Minnesota
tt0109593,38867,Delta of Venus
tt0103095,277270,To Cross the Rubicon
tt0112368,25969,Angus
tt0104046,44103,Priest Daens
tt0062952,753,Faces
tt0115742,43634,Boys
tt0117420,9103,The Quest
tt0115951,90214,Cosi
tt0117784,29649,Sunset Park
tt0117107,10990,Mulholland Falls
tt0117979,8866,The Truth About Cats & Dogs
tt0095776,12233,Oliver & Company
tt0115851,23449,Celtic Pride
tt0116322,36355,Flipper
tt0109374,37667,Captives
tt0110712,90148,Of Love and Shadows
tt0112817,922,Dead Man
tt0113362,11876,The Horseman on the Roof
tt0073778,52633,Switchblade Sisters
tt0112546,62364,Mouth to Mouth
tt0108500,11687,The Visitors
tt0117108,9304,Multiplicity
tt0113270,73183,"The Haunted World of Edward D. Wood, Jr."
tt0333373,131232,Two Friends
tt0115963,9100,The Craft
tt0116448,20759,The Great White Hype
tt0116827,46063,Last Dance
tt0114894,365371,War Stories Our Mother Never Told Us
tt0112701,32513,Cold Comfort Farm
tt0113429,40651,"Institute Benjamenta, or This Dream People Call Human Life"
tt0116508,36915,Heaven's Prisoners
tt0117260,40507,Original Gangstas
tt0117500,9802,The Rock
tt0116405,25697,Getting Away with Murder
tt0109592,21588,Cemetery Man
tt0117998,664,Twister
tt0115624,11867,Barb Wire
tt0113145,47119,Le Garçu
tt0116559,314352,Honeymoon
tt0113568,9323,Ghost in the Shell
tt0117894,10280,Thinner
tt0117723,10535,Spy Hard
tt0112586,124613,Brothers in Trouble
tt0112691,532,A Close Shave
tt0040366,26744,Force of Evil
tt0117768,16299,The Stupids
tt0115571,10547,The Arrival
tt0031612,245268,The Man from Down Under
tt0057012,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
tt0103926,55613,Careful
tt0105737,215107,Vermont Is for Lovers
tt0113849,41007,A Month by the Lake
tt0113188,35645,Gold Diggers: The Secret of Bear Mountain
tt0042644,110465,Kim
tt0109381,255546,Carmen Miranda: Bananas Is My Business
tt0109688,40751,Ashes of Time
tt0104606,275096,The Jar
tt0110480,85778,Maya Lin: A Strong Clear Vision
tt0108211,11101,Stalingrad
tt0117331,9826,The Phantom
tt0117765,9879,Striptease
tt0116833,63564,The Last of the High Kings
tt0113280,22621,Heavy
tt0116669,7095,Jack
tt0116594,26890,I Shot Andy Warhol
tt0113211,46732,The Grass Harp
tt0114494,124633,Someone Else's America
tt0094265,202425,Life is Rosy
tt0105201,196940,Quartier Mozart
tt0070820,77771,Touki Bouki
tt0084898,181083,God's Gift
tt0063715,41225,Spirits of the Dead
tt0109191,188589,Babyfever
tt0114122,87190,Pharaoh's  Army
tt0117951,627,Trainspotting
tt0118523,32872,Til There Was You
tt0116629,602,Independence Day
tt0117737,14553,Stealing Beauty
tt0116277,9566,The Fan
tt0116583,10545,The Hunchback of Notre Dame
tt0115798,9894,The Cable Guy
tt0116778,11543,Kingpin
tt0116213,9268,Eraser
tt0113147,52059,The Gate of Heavenly Peace
tt0117218,9327,The Nutty Professor
tt0100990,123763,"I, the Worst of All"
tt0111546,81949,An Unforgettable Summer
tt0093199,42005,A Hungarian Fairy Tale
tt0106810,124306,My Life and Times With Antonin Artaud
tt0111180,183955,Midnight Dancers
tt0111237,44535,Somebody to Love
tt0072362,44495,A Very Natural Thing
tt0103207,78285,The Old Lady Who Walked in the Sea
tt0116040,11228,Daylight
tt0116365,10779,The Frighteners
tt0116905,26748,Lone Star
tt0116493,38223,Harriet the Spy
tt0117333,9294,Phenomenon
tt0118113,49963,Walking and Talking
tt0117628,11363,She's the One
tt0117913,1645,A Time to Kill
tt0115530,31546,American Buffalo
tt0114266,77056,Rendezvous in Paris
tt0115493,36344,Alaska
tt0116320,18550,Fled
tt0116756,11511,Kazaam
tt0109356,172198,Magic Hunter
tt0116823,34170,Larger Than Life
tt0112568,281085,A Boy Called Hate
tt0114170,109478,Power 98
tt0117999,124645,Two Deaths
tt0118073,12606,A Very Brady Sequel
tt0108220,69895,Stefano Quantestorie
tt0049521,35206,Death in the Garden
tt0104403,151489,Hedd Wyn
tt0061495,4837,La Collectionneuse
tt0110246,12632,Kaspar Hauser
tt0116164,9098,Regular Guys
tt0112865,282919,Diebinnen
tt0112716,124614,The Convent
